brm_code,ship_name,contentful_id,slug,has_contentful_content
KH,MS Kong Harald,ship_KH,ms-kong-harald,True
MS,MS Maud,ship_WW,ms-maud,True
NK,MS Nordkapp,ship_NK,ms-nordkapp,True
NL,MS Nordlys,ship_NL,ms-nordlys,True
NN,MS Nordnorge,ship_NN,ms-nordnorge,True
PL,MS Polarlys,ship_PL,ms-polarlys,True
RW,MS Richard With,ship_RW,ms-richard-with,True
SV,MS Finnmarken,ship_SV,ms-finnmarken,True
TF,MS Trollfjord,ship_TF,ms-trollfjord,True
VA,MS Vesterålen,ship_VA,ms-vesteralen,True
WW,MS Midnatsol,ship_WW,ms-midnatsol,True
